"","V1","V1.6","V1.5","V1.4","V1.3","deploymentID","V1.2","speciesName","project","subproject","treatment","deploymentName","idType","sequenceID","beginTime","endTime","commonName","age","sex","individuallyIDentifiable","count","fuzzed","begin","end","beginDate","endDate","julianDay","year","month","quarter","actualDateOut","retrievalDate","plotName","plotTreatment","cameraFailureDetails","deploymentNotes","baitType","baitDescription","baitStatus","trails","feature","featureTypeMethodology","detectionDistance","trapNights","tdiff","dayOfDeployment","Binom","AmericanBeaverBinom","AmericanBlackBearBinom","AmericanMinkBinom","AmericanRedSquirrelBinom","AppalachianCottontailBinom","BobcatBinom","CoyoteBinom","DomesticCatBinom","DomesticDogBinom","EasternChipmunkBinom","EasternCottontailBinom","EasternFoxSquirrelBinom","EasternGraySquirrelBinom","EasternSpottedSkunkBinom","EasternWoodratBinom","ElkAkaRedDeerBinom","GreyFoxBinom","LongTailedWeaselBinom","MarshRabbitBinom","NineBandedArmadilloBinom","NorthAmericanOtterBinom","NorthernBobwhiteBinom","NorthernRaccoonBinom","RedFoxBinom","RedWolfBinom","RuffedGrouseBinom","SouthernFlyingSquirrelBinom","StripedSkunkBinom","SwampRabbitBinom","UnknownCanidBinom","UnknownFelidBinom","UnknownFlyingSquirrelBinom","UnknownRabbitHareBinom","UnknownSmallRodentBinom","UnknownSquirrelBinom","VirginiaOpossumBinom","WhiteTailedDeerBinom","WildBoarBinom","WildTurkeyBinom","WoodchuckBinom","V1.1","AmericanBeaver","AmericanBlackBear","AmericanMink","AmericanRedSquirrel","AppalachianCottontail","Bobcat","Coyote","DomesticCat","DomesticDog","EasternChipmunk","EasternCottontail","EasternFoxSquirrel","EasternGraySquirrel","EasternSpottedSkunk","EasternWoodrat","ElkAkaRedDeer","GreyFox","LongTailedWeasel","MarshRabbit","NineBandedArmadillo","NorthAmericanOtter","NorthernBobwhite","NorthernRaccoon","RedFox","RedWolf","RuffedGrouse","SouthernFlyingSquirrel","StripedSkunk","SwampRabbit","UnknownCanid","UnknownFelid","UnknownFlyingSquirrel","UnknownRabbitHare","UnknownSmallRodent","UnknownSquirrel","VirginiaOpossum","WhiteTailedDeer","WildBoar","WildTurkey","Woodchuck","avgPrecip","avgTemp","avgCloud","avgEVI","building100","building200","building300","building400","building500","building600","building700","building800","building900","building1000","distToBuilding","distToStream","streamLength1km","streamLength5km","distToRoad","actualLon","actualLat"
"1",1,1,1,1,1,"d19750",1,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","Kilpenny Pocosin","HofmannFor_2","Researcher","d19750s10","02:55:00","02:55:06","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-06-01 19:58:44","2016-06-11 02:55:06","2016-06-11","2016-06-11",163,2016,6,2,"2016-05-27","2016-06-29","Large Forest","Kilpenny Pocosin","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",10,33,450493,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,4.17580887702697e-05,294.658338966893,33.971120694028,0.396009883621945,0,0,0,0,0,0,0,0,0,0,3226.13650736653,2216.00810655534,0,1359.18321033461,3689.52725292967,-77.4170175240476,34.8679712839885
"2",2,2,2,2,2,"d20893",2,"Lynx rufus","North Carolina's Candid Critters Project","Hofmann Forest","","Hult_DPTrailhead","Researcher","d20893s2","23:30:34","23:30:36","Bobcat","Unknown","Unknown","N",1,FALSE,"2016-09-08 02:17:15","2016-08-19 23:30:36","2016-08-19","2016-08-19",232,2016,8,3,"2016-07-28","2016-08-19","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",15,22,368507,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17440885695765e-05,291.051833083444,20.0349055543832,0.399577313517252,0,0,0,0,0,0,0,0,0,1,980.709822160406,1801.07994585729,0,3006.43267874886,1891.28694509969,-77.3028952906227,34.8591592684237
"3",3,3,3,3,3,"d21450",3,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","NULL","HF_Test","Researcher","d21450s7","06:50:04","06:50:07","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-07-06 12:27:30","2016-07-05 06:50:07","2016-07-05","2016-07-05",187,2016,7,3,"2016-06-29","2016-07-07","NULL","NULL","NULL","Test Deployment","No Bait","","no bait","no trails","Not Entered","",10,8,18636,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7.78968744828983e-05,293.051700465089,35.6595735110981,0.398691665348306,3,3,3,4,9,9,15,16,20,23,65.7341111169374,1414.4908725639,0,353.01429593975,34.5269886806479,-77.5028195373756,34.9546918926732
"4",4,4,4,4,4,"d21504",4,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","","HofmannFor_1_Real","Researcher","d21504s2","22:22:28","22:24:34","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-06-04 23:24:15","2016-05-29 22:24:34","2016-05-29","2016-05-29",150,2016,5,2,"2016-05-27","2016-06-29","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",14,33,60239,2,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,0.000148361419570183,292.146173671725,39.2889623644944,0.396913596181703,3,3,3,4,9,9,15,16,20,23,65.7341111169374,1414.4908725639,0,353.01429593975,34.5269886806479,-77.5028195373756,34.9546918926732
"5",5,5,5,5,5,"d21540",5,"Camera Trapper","North Carolina's Candid Critters Project","Alamance County","Farm","Bellemare_S_Elon1","Researcher","d21540s146","14:43:32","14:43:47","Camera Trapper","error","error","error",1,FALSE,"2016-10-05 01:36:12","2016-10-19 14:43:47","2016-10-19","2016-10-19",293,2016,10,4,"2016-09-28","2016-10-26","Other","Farm","NULL","","No Bait","NULL","no bait","no trails","Not Entered","",59.05,28,18268,21,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,4,5.85116636856885e-05,292.558436614551,19.5347550798808,0.406837266350032,6,24,52,100,189,276,366,452,562,712,35.3093245640121,83.9602938436203,234.823502777925,174.498838249966,57.8409930377573,-79.4999959403526,36.0940892983606
"6",6,6,6,6,6,"d21544",6,"Camera Trapper","North Carolina's Candid Critters Project","Alamance County","","Wetter_W_Elon1","Researcher","d21544s1","15:42:43","15:43:55","Camera Trapper","error","error","error",1,FALSE,"2016-09-26 15:42:43","2016-09-26 15:43:55","2016-09-26","2016-09-26",270,2016,9,3,"2016-09-26","2016-10-19","Large Forest","","NULL","Overlooking a stream","No Bait","NULL","no bait","no trails","Not Entered","",5.4,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.08639849853751e-05,292.511713290124,18.6669369902074,0.406078792669185,0,0,7,32,45,60,71,87,117,149,231.343904398156,44.9792364364075,221.1060921311,1890.9292534246,216.702597519346,-79.5061474319425,36.1136180419179
"7",7,7,7,7,7,"d21545",7,"Camera Trapper","North Carolina's Candid Critters Project","Alamance County","","Wetter_W_Elon2","Researcher","d21545s1","16:08:53","16:10:10","Camera Trapper","error","error","error",1,FALSE,"2016-09-26 16:08:53","2016-09-26 16:10:10","2016-09-26","2016-09-26",270,2016,9,3,"2016-09-26","2016-10-19","Large Forest","","NULL","","No Bait","NULL","no bait","no trails","Not Entered","",10.9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,6.08732983995498e-05,290.15585133836,30.2544377934678,0.406745749495348,1,8,24,41,55,75,135,207,288,367,77.6590748461238,201.823293439244,221.1060921311,1890.9292534246,47.7010400454335,-79.5058868897939,36.108108297045
"8",8,8,8,8,8,"d21629",8,"Camera Trapper","North Carolina's Candid Critters Project","Wake County","Near stream","Mason_C_Wake1","Researcher","d21629s1","15:29:58","15:30:25","Camera Trapper","error","error","error",1,FALSE,"2016-11-24 04:06:15","2016-12-03 15:30:25","2016-12-03","2016-12-03",338,2016,12,4,"2016-11-09","2016-12-03","Small Forest","Near stream","NULL","repeat of same location as last upload to this deployment. Did NOT move 200 m.","No Bait","NULL","no bait","no trails","Not Entered","",10,24,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0.000132321460921961,290.754312421619,28.7030377906867,0.409966926935627,3,11,34,105,250,443,669,878,1073,1300,53.3720087344789,619.146720723798,232.852223833945,466.137339329089,40.0638853235256,-78.6780211497039,35.8848236554687
"9",9,9,9,9,9,"d21632",9,"Ursus americanus","North Carolina's Candid Critters Project","McDowell County","","Rhode_L_McDowell1","Researcher","d21632s9","18:01:17","18:01:50","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-12-03 16:56:13","2016-11-19 18:01:50","2016-11-19","2016-11-19",324,2016,11,4,"2016-11-12","2016-12-03","Open","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",36,21,20534,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138799739365726,291.47971575063,38.3456683081321,0.402027639986276,0,0,1,7,13,17,21,25,32,38,288.118436532684,147.047710569764,1185.34968910276,1330.61259617692,69.1776309510936,-82.2512905869458,35.5814913912967
"10",10,10,10,10,10,"d21634",10,"Camera Trapper","North Carolina's Candid Critters Project","Jackson County","Open area","OConnell_S_Jackson1","Researcher","d21634s19","12:38:41","12:38:41","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2017-02-03 01:11:09","2017-02-04 12:38:41","2017-02-04","2017-02-04",35,2017,2,1,"2017-01-13","2017-02-14","Small Forest","Open area","NULL","","No Bait","NULL","no bait","no trails","Not Entered","",0,32,254368,22,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7.15210981936582e-05,292.456686671264,31.7952677654508,0.436800809467489,4,9,16,22,27,38,45,57,73,95,31.0397939424301,593.713480517978,884.479209151187,69.3826652968203,40.2348524032815,-83.2413733074016,35.3840777813122
